"gene","module","GS","GS_pval","kME","GS_filter"
"GLYATL1","brown",0.701477833186394,4.70564473006633e-26,0.921739522553394,TRUE
"TTC36","brown",0.815703040582466,4.53060752336846e-41,0.921647606812739,TRUE
"PEX11G","brown",0.693110681009265,3.1010297888556e-25,0.900385374029026,TRUE
"AADAT","brown",0.800124032587228,1.83286868781172e-38,0.896005579454517,TRUE
"NAT2","brown",0.765734702517694,1.90065093168451e-33,0.893709954832964,TRUE
"LAPTM5","yellow",0.197481553033599,0.010524604173177,0.934021800996618,TRUE
"RAC2","yellow",0.162131706696773,0.0363190703324413,0.921053969364019,TRUE
"HCST","yellow",0.264083914878105,0.00056368764684429,0.920721626906289,TRUE
"EVI2B","yellow",0.214574613328459,0.00535941303880632,0.918208946671305,TRUE
"PLEK","yellow",0.343722560012095,5.4195396701157e-06,0.911216579774332,TRUE
"AEBP1","green",0.452585374855566,8.22350076359869e-10,0.925890254364031,TRUE
"ISLR","green",0.569446267211739,9.73116620609274e-16,0.920168889601647,TRUE
"CRISPLD2","green",0.442261435026657,2.17976115810821e-09,0.919518910103094,TRUE
"PODN","green",0.530203570568508,1.72203696445673e-13,0.904902362958362,TRUE
"MFAP4","green",0.6733618054658,2.07920880319102e-23,0.899550915543343,TRUE
"GAGE6","black",0.249622040107113,0.00114090525970569,0.943294060366517,TRUE
"GAGE2B","black",0.285692347744892,0.000182171928414286,0.942790919941525,TRUE
"GAGE12C","black",0.252264419688134,0.00100599335119615,0.942496693210396,TRUE
"GAGE4","black",0.272456372285466,0.000367903098351648,0.937222093566369,TRUE
"GAGE12I","black",0.257844501933853,0.000767863239574718,0.936711904531605,TRUE
"GOLGA6L6","blue",0.40259310122757,6.90697317522039e-08,0.950192095076204,TRUE
"CCDC125","blue",0.405112132101606,5.61883653268934e-08,0.945461255316829,TRUE
"RAX2","blue",0.447856859264287,1.29036684950833e-09,0.945383510983651,TRUE
"SSTR2","blue",0.423439184601263,1.18780008772333e-08,0.94110981009945,TRUE
"MBD4","blue",0.381588674066565,3.617942869978e-07,0.940531670598707,TRUE
"COL1A2","red",0.338523754542464,7.65305975281008e-06,0.857432910043481,TRUE
"FSTL1","red",0.169191425849163,0.0288305353116933,0.833476959605129,TRUE
"COL8A1","red",0.170927328403471,0.0272055090386421,0.810831496571818,TRUE
"ACTA2","red",0.17658336727473,0.0224427831970303,0.742438855629784,TRUE
"MFGE8","red",0.21730231260279,0.00478949680371463,0.718604092188699,TRUE
